vehicle_id,Brand,Model,Year
1,maruti,wagon,2010
2,hyundai,creta,2015
3,honda,jazz,2011
4,maruti,ertiga,2012
5,audi,a4,2013
6,hyundai,eon,2012
7,nissan,micra,2013
8,toyota,innova,2016
9,volkswagen,vento,2013
10,tata,indica,2012
11,maruti,ciaz,2018
12,honda,city,2012
13,maruti,swift,2015
14,land,rover,2014
15,land,rover,2012
16,mitsubishi,pajero,2014
17,honda,amaze,2016
18,maruti,swift,2017
19,renault,duster,2014
20,mercedes-benz,new,2014
21,bmw,3,2014
22,maruti,s,2015
23,audi,a6,2015
24,hyundai,i20,2010
25,volkswagen,vento,2010
26,honda,city,2012
27,nissan,micra,2012
28,maruti,alto,2013
29,honda,wrv,2018
30,toyota,innova,2007
31,renault,duster,2013
32,toyota,corolla,2012
33,mahindra,ssangyong,2013
34,audi,a6,2010
35,volkswagen,vento,2014
36,maruti,wagon,2009
37,maruti,vitara,2018
38,mahindra,kuv,2017
39,mercedes-benz,m-class,2013
40,volkswagen,polo,2013
41,maruti,alto,2008
42,tata,nano,2014
43,mahindra,kuv,2017
44,hyundai,i20,2014
45,hyundai,elantra,2014
46,toyota,corolla,2016
47,hyundai,elantra,2008
48,toyota,innova,2012
49,hyundai,xcent,2014
50,mahindra,thar,2012
51,audi,a4,2015
52,maruti,swift,2014
53,maruti,swift,2014
54,maruti,swift,2013
55,hyundai,grand,2015
56,volkswagen,vento,2015
57,renault,kwid,2017
58,hyundai,i10,2010
59,nissan,x-trail,2010
60,maruti,zen,2010
61,toyota,innova,2017
62,ford,figo,2010
63,mercedes-benz,new,2015
64,mercedes-benz,new,2011
65,tata,indica,2016
66,audi,a4,2012
67,honda,city,2007
68,mercedes-benz,c-class,2019
69,maruti,ertiga,2016
70,hyundai,creta,2018
71,porsche,cayenne,2008
72,mahindra,xuv500,2015
73,hyundai,i10,2012
74,nissan,terrano,2015
75,honda,brio,2016
76,audi,a6,2014
77,ford,fiesta,2008
78,toyota,innova,2006
79,toyota,innova,2012
80,hyundai,santro,2005
81,maruti,swift,2012
82,tata,zest,2017
83,honda,amaze,2016
84,ford,figo,2012
85,maruti,ritz,2013
86,honda,city,2009
87,bmw,5,2011
88,hyundai,i10,2009
89,hyundai,grand,2016
90,hyundai,santro,2007
91,honda,amaze,2016
92,toyota,fortuner,2014
93,audi,a6,2018
94,ford,ecosport,2013
95,mahindra,xuv500,2014
96,honda,amaze,2015
97,volkswagen,polo,2013
98,hyundai,verna,2010
99,maruti,wagon,2016
